iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Rate / Age,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
QAT,Qatar,2020-05-27,47207,1742,28,2,16385.289,604.639,9.719,0.694,201180,4769,69.828,1.655,4392,1.524,people tested,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,,,,,,,,,
ROU,Romania,2020-05-27,18429,146,1210,13,957.964,7.589,62.897,0.676,,,,,,,,,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,,,,,,,,,
RUS,Russia,2020-05-27,362342,8915,3807,174,2482.909,61.089,26.087,1.192,9415992,255402,64.522,1.75,262566,1.799,tests performed,,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,,,,,,,,,
RWA,Rwanda,2020-05-27,339,3,0,0,26.173,0.232,0,0,,,,,,,,,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,,,,,,,,,
SAU,Saudi Arabia,2020-05-27,76726,1931,411,12,2203.892,55.466,11.806,0.345,754268,15525,21.666,0.446,14730,0.423,units unclear,,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,,,,,,,,,
SDN,Sudan,2020-05-27,3976,150,170,5,90.674,3.421,3.877,0.114,,,,,,,,,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,,,,,,,,,
SEN,Senegal,2020-05-27,3161,31,37,1,188.785,1.851,2.21,0.06,38318,961,2.288,0.057,977,0.058,tests performed,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,,,,,,,,,
SGP,Singapore,2020-05-27,32343,383,23,0,5528.394,65.466,3.931,0,,,,,,,,,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,,,,,,,,,
SLE,Sierra Leone,2020-05-27,754,19,44,2,94.522,2.382,5.516,0.251,,,,,,,,73.15,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,,,,,,,,,
SLV,El Salvador,2020-05-27,2042,59,36,0,314.822,9.096,5.55,0,,,,,,,,,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,,,,,,,,,
SMR,San Marino,2020-05-27,666,0,42,0,19624.02,0,1237.551,0,,,,,,,,,33938,556.667,,,,56861.47,,,5.64,,,,3.8,,,,,,,,,
SOM,Somalia,2020-05-27,1711,22,67,1,107.656,1.384,4.216,0.063,,,,,,,,,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,,,,,,,,,
